,Brand,ItemDescr,Content,UOM,Weight,PackagingType,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
106,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201902.0,4.50437658938396e-05,4.01811271268705e-05,2.87,6.377777777777778
107,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201903.0,5.78811151961981e-05,5.59258256064221e-05,2.87,6.377777777777778
108,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201904.0,2.20207276705417e-05,1.97324455109028e-05,2.87,6.377777777777778
109,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201905.0,1.53329551204403e-05,1.39236613181624e-05,2.87,6.377777777777778
110,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201906.0,1.96094118902061e-05,1.73828846997955e-05,2.87,6.377777777777778
111,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201907.0,1.34904031347545e-05,1.18385537542872e-05,2.87,6.377777777777778
112,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201908.0,2.11143967458491e-05,1.86179811516886e-05,2.87,6.377777777777778
113,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201909.0,8.95314594896259e-06,8.30071868040498e-06,2.87,6.377777777777778
114,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201910.0,2.17261419803378e-05,1.69064046907227e-05,2.87,6.377777777777778
115,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201911.0,1.76412890842759e-05,1.70057019698415e-05,2.89,6.4222222222222225
116,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201912.0,2.72744009291479e-05,2.52292840740881e-05,2.89,6.4222222222222225
117,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201801.0,0.000852873662073639,0.000810545279149946,2.85,6.333333333333333
118,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201802.0,0.00244330568731132,0.00228313888627837,2.85,6.333333333333333
119,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201803.0,0.000707931076539,0.000676288848272706,2.85,6.333333333333333
120,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201804.0,0.000668273511308695,0.000586770190373323,2.85,6.333333333333333
121,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201805.0,0.000530905156804023,0.00046432848313038,2.85,6.333333333333333
122,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201806.0,0.000568137856329652,0.000537487257564943,2.85,6.333333333333333
123,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201807.0,0.000571748064427478,0.000515372253019181,2.85,6.333333333333333
124,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201808.0,0.000646314235098743,0.000549089783179242,2.85,6.333333333333333
125,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201809.0,0.000496394845044406,0.000483549424541796,2.85,6.333333333333333
126,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201810.0,0.000694331509848089,0.000617643412378557,2.85,6.333333333333333
127,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201811.0,0.000606909060667144,0.000555768756915274,2.85,6.333333333333333
128,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201812.0,0.000470258600117354,0.000501593723393673,3.09,6.866666666666667
129,Baltussen,Baltussen Rolmops in saus 450 gram,450.0,GR,,pot,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,201901.0,0.000584236986495636,0.000656858492491445,3.18,7.066666666666667
