,,Content,Content,Content,Content,Content,Content,Content,Content,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit en Verse Sappen,201812.0,25.0,302.4,242.1070269529573,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.03999968451683544,0.04944406059403142,3.94353955547633e-07,0.000991011490291202,0.0141608561897599,0.0666982675636378,0.158669891430412,25.0,0.03999937823359048,0.05967775950334964,4.74013679860822e-07,0.00173372321419146,0.00943348093710667,0.0379088620556361,0.192656912307256,25.0,3.0828,1.8477452926923306,1.75,2.19,2.49,3.09,9.99
Fruit en Verse Sappen,201901.0,26.0,290.8076923076923,244.46901958829372,1.0,40.5,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846115598127626,0.05494915495611622,7.64960524212148e-07,6.349172350960805e-05,0.01457135054545505,0.04172725791485528,0.194151570808188,26.0,0.03846085931253472,0.0619284996705649,1.63625092226661e-07,4.624453942709418e-05,0.00995126051192026,0.03257975242135768,0.21641961997158,26.0,2.994230769230769,1.4552227955249275,1.8,2.0999999999999996,2.51,3.1525000000000003,7.7
Fruit en Verse Sappen,201902.0,28.0,305.75,241.55351757292183,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035714144235242946,0.048740402693106734,6.60235532423836e-07,5.94211979181453e-06,0.009285882645775019,0.0617011562704879,0.157587657821051,28.0,0.03571402045180332,0.058818863057873726,4.34347931824523e-07,4.940707346953805e-06,0.0068907511005416,0.04550699472558193,0.201707064977003,28.0,3.009285714285714,1.4121245579607227,1.8,2.2,2.56,3.0999999999999996,7.79
Fruit en Verse Sappen,201903.0,25.0,302.28,242.26178505905546,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.039999999999999904,0.05631723350454645,5.25499329462855e-07,7.88248994194283e-06,0.00621613156821611,0.0682844338690623,0.178196822620854,25.0,0.03999999999999992,0.0635590725641225,1.18099939995921e-07,7.85561385908754e-06,0.00633493765638207,0.0514267093075883,0.226459835279862,25.0,2.9956,1.4253452213411317,1.85,2.05,2.45,3.19,7.29
Fruit en Verse Sappen,201904.0,25.0,322.24,236.9020595801846,1.0,190.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.03999999999999993,0.06154014692915155,4.10984463965293e-07,2.87689124775705e-06,0.00338815592092987,0.0614364235803158,0.2456334955626,25.0,0.03999999999999992,0.07198133667710561,1.00007180392138e-07,3.58192362415656e-06,0.00409290873238604,0.0355480776143482,0.270973785104144,25.0,3.022,1.4080571721347115,1.85,2.25,2.56,3.07,7.29
Fruit en Verse Sappen,201905.0,25.0,322.34,236.76151503147634,1.0,190.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.039999749311651484,0.06591427137465485,1.04453478509741e-06,4.12591240113478e-05,0.00469675066119051,0.0549811774831725,0.282070351506845,25.0,0.039999593878900834,0.08548849358668714,7.18209299182907e-07,4.51263178022896e-05,0.00449662277768966,0.0234529571270743,0.398190143627543,25.0,3.0828,1.3938391824979908,1.85,2.29,2.56,3.29,7.29
Fruit en Verse Sappen,201906.0,27.0,317.01851851851853,238.53738948503687,1.0,170.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703679390284266,0.05241506693307344,1.09410387422181e-06,3.692600575498635e-05,0.00490869703169618,0.05109711265987585,0.151695861005043,27.0,0.03703654988786876,0.057066743661792416,5.12788607037937e-07,4.09429628247911e-05,0.00665214560646022,0.040008228232920745,0.190677220293236,27.0,2.935185185185185,1.2257034726429568,1.85,2.27,2.49,3.1799999999999997,7.2
Fruit en Verse Sappen,201907.0,27.0,317.037037037037,238.51193027433843,1.0,170.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703669434979848,0.0504269337328736,1.54209257335927e-06,1.503540259025285e-05,0.00591238292625944,0.0614396667846367,0.164250593127356,27.0,0.03703637358634978,0.05464380194197375,1.2289823946877e-06,1.7623907331367453e-05,0.00811764466214717,0.04901947321085075,0.209741143795439,27.0,2.904074074074074,1.2224888209627593,1.85,2.25,2.49,3.07,7.2
Fruit en Verse Sappen,201908.0,26.0,329.1923076923077,234.5519591443686,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846113285330304,0.06389793514719375,6.20342006955274e-07,1.6594148686053592e-05,0.00508246206298456,0.049989950459487294,0.268418884699512,26.0,0.03846092081015214,0.07763762612517325,4.20928496360485e-07,1.6596389538368408e-05,0.005555837403060815,0.03562732003421455,0.357887798733079,26.0,2.963846153846154,1.2532264820792034,1.85,2.26,2.49,3.07,7.2
Fruit en Verse Sappen,201909.0,27.0,298.55555555555554,243.07866459129474,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703673617297622,0.056528152527924674,6.24871510795592e-07,7.810893884944905e-06,0.00502146746075338,0.0601266989475289,0.174688454686505,27.0,0.03703654975836754,0.06450893563673771,1.28796127257007e-07,6.67163890571265e-06,0.00315809384437598,0.04277030827664425,0.227145303842412,27.0,2.881851851851852,1.2667342537074104,1.85,2.05,2.45,3.07,7.2
Fruit en Verse Sappen,201910.0,26.0,329.1923076923077,234.5519591443686,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461145233332585,0.06256711684452194,7.30280953688503e-07,7.120239298462898e-06,0.00918583897597082,0.0596988248318893,0.261964923145232,26.0,0.03846097076175211,0.07605958464620312,5.85050683281711e-07,6.22409325206307e-06,0.007637350317837845,0.03957521059805243,0.334232800542177,26.0,2.994615384615384,1.2400265505842392,1.85,2.305,2.49,3.07,7.2
Fruit en Verse Sappen,201911.0,25.0,302.4,242.1070269529573,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.03999972364000649,0.05502649998319098,5.75749986325937e-07,6.33324984958531e-06,0.00875485429207221,0.0665964251683349,0.187217774553577,25.0,0.039999486347465286,0.06887402297826736,4.27626562741792e-07,6.10150084944833e-06,0.0102406823122488,0.0471034925730515,0.236171805385341,25.0,2.894,1.2721209324064544,1.85,2.25,2.45,3.07,7.2
Fruit en Verse Sappen,201912.0,27.0,298.55555555555554,243.07866459129474,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703685329465351,0.051182695881173204,3.81618796404845e-07,4.1978067604532954e-06,0.00644935765924189,0.0631397839121727,0.167855790836264,27.0,0.03703668549726781,0.059442847481829354,7.11618950037139e-08,4.2796762881569444e-06,0.00798408996065455,0.03370145091088335,0.190962458680671,27.0,3.011111111111111,1.6732012921649815,1.85,2.15,2.49,3.07,9.99
Fruit en Verse Sappen,,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,1.0,39.99,,39.99,39.99,39.99,39.99,39.99
